Total Abgeordnete: 4379

Wassermann 422 Abgeordnete
Widder 392 Abgeordnete
Stier 388 Abgeordnete
Krebs 386 Abgeordnete
Zwillinge 384 Abgeordnete
Fische 371 Abgeordnete
Steinbock 367 Abgeordnete
Löwe 365 Abgeordnete
Jungfrau 341 Abgeordnete
Waage 340 Abgeordnete
Schütze 335 Abgeordnete
Skorpion 288 Abgeordnete

Waage 340 Abgeordnete
11001097, 'Karl Alfred', 'Kihn', '20.10.1887', 'CSU', 'Waage'
11001120, 'Josef Ferdinand', 'Kleindinst', '20.10.1881', 'CSU', 'Waage'
11001132, 'Gustav', 'Klingelhöfer', '16.10.1888', 'SPD', 'Waage'
11001138, 'Wilhelm', 'Knabe', '08.10.1923', 'DIE GRÜNEN/BÜNDNIS 90', 'Waage'
11001142, 'Waldemar', 'Knoeringen', '06.10.1906', 'SPD', 'Waage'
11001145, 'Kurt', 'Koblitz', '27.09.1916', 'SPD', 'Waage'
11001207, 'Constanze', 'Krehl', '14.10.1956', 'SPD', 'Waage'
11001218, 'Verena', 'Krieger', '18.10.1961', 'GRÜNE', 'Waage'
11001226, 'Ursula', 'Krone-Appuhn', '25.09.1936', 'CSU', 'Waage'
11001242, 'Knut', 'Kühlmann-Stumm', '17.10.1916', 'FDP', 'Waage'
11001280, 'Heinz F.', 'Landré', '24.09.1930', 'CDU', 'Waage'
11001296, 'Willi', 'Lausen', '22.10.1901', 'SPD', 'Waage'
11001299, 'Georg', 'Leber', '07.10.1920', 'SPD', 'Waage'
11001301, 'Andrea', 'Lederer', '04.10.1957', 'PDS', 'Waage'
11001315, 'Karl Heinz', 'Lemmrich', '28.09.1926', 'CSU', 'Waage'
11001326, 'Franz', 'Lenze', '13.10.1910', 'CDU', 'Waage'
11001339, 'Immo', 'Lieberoth', '16.10.1929', 'CDU', 'Waage'
11001345, 'Heinrich', 'Lindenberg', '02.10.1902', 'CDU', 'Waage'
11001362, 'Walter', 'Löhr', '27.09.1911', 'CDU', 'Waage'
11001365, 'Hubertus', 'Löwenstein-Wertheim-Freudenberg', '14.10.1906', 'DP', 'Waage'
11001385, 'Heinrich', 'Lübke', '14.10.1894', 'CDU', 'Waage'
11001395, 'Wilhelm Adam', 'Lulay', '04.10.1901', 'CDU', 'Waage'
11001398, 'Michael', 'Luther', '27.09.1956', 'CDU', 'Waage'
11001409, 'Erhard', 'Mahne', '29.09.1931', 'SPD', 'Waage'
11001413, 'Reinhold', 'Maier', '16.10.1889', 'FDP', 'Waage'
11001414, 'Werner', 'Maihofer', '20.10.1918', 'FDP', 'Waage'
11001420, 'Robert', 'Margulies', '29.09.1908', 'FDP', 'Waage'
11001439, 'Hans', 'Matthöfer', '25.09.1925', 'SPD', 'Waage'
11001448, 'Martin', 'Mayer', '13.10.1941', 'CSU', 'Waage'
11001455, 'Matthias Joseph', 'Mehs', '12.10.1893', 'CDU', 'Waage'
11001503, 'Wilhelm', 'Michels', '27.09.1919', 'SPD', 'Waage'
11001512, 'Wolfgang', 'Mischnick', '29.09.1921', 'FDP', 'Waage'
11001515, 'Friedhelm', 'Missmahl', '03.10.1904', 'SPD', 'Waage'
11001534, 'Wendelin', 'Morgenthaler', '18.10.1888', 'CDU', 'Waage'
11001538, 'Klaus', 'Mühlen', '26.09.1909', 'FDP', 'Waage'
11001548, 'Günther', 'Müller', '27.09.1934', 'CSU', 'Waage'
11001549, 'Hans', 'Müller', '17.10.1898', 'SPD', 'Waage'
11001567, 'Willy', 'Müller', '10.10.1903', 'SPD', 'Waage'
11001569, 'Ernst', 'Müller-Hermann', '30.09.1915', 'CDU', 'Waage'
11001577, 'Karl-Heinz', 'Mursch', '25.09.1911', 'CDU', 'Waage'
11001581, 'Alfred', 'Nann', '29.09.1926', 'SPD', 'Waage'
11001588, 'Kurt', 'Neubauer', '30.09.1922', 'SPD', 'Waage'
11001614, 'Wilhelm', 'Niklas', '24.09.1887', 'CSU', 'Waage'
11001654, 'Gerhard', 'Orgaß', '23.10.1927', 'CDU', 'Waage'
11001655, 'Eduard', 'Orth', '13.10.1902', 'CDU', 'Waage'
11001673, 'Kurt', 'Palis', '16.10.1937', 'SPD', 'Waage'
11001762, 'Paul', 'Putzig', '03.10.1903', 'SPD', 'Waage'
11001788, 'Hans Albrecht', 'Rechenberg', '22.10.1892', 'FDP', 'Waage'
11001794, 'Karl', 'Regling', '09.10.1907', 'SPD', 'Waage'
11001798, 'Reinhold', 'Rehs', '12.10.1901', 'CDU', 'Waage'
11001809, 'Otto', 'Reindl', '05.10.1900', 'WAV', 'Waage'
11001821, 'Annemarie', 'Renger', '07.10.1919', 'SPD', 'Waage'
11001831, 'Hans', 'Richarts', '14.10.1910', 'CDU', 'Waage'
11001836, 'Willi', 'Richter', '01.10.1894', 'SPD', 'Waage'
11001872, 'Julie', 'Rösch', '23.10.1902', 'CDU', 'Waage'
11001873, 'Klaus', 'Rösch', '18.10.1945', 'FDP', 'Waage'
11001883, 'Philip', 'Rosenthal', '23.10.1916', 'SPD', 'Waage'
11001897, 'Volker', 'Rühe', '25.09.1942', 'CDU', 'Waage'
11001912, 'Anton', 'Sabel', '15.10.1902', 'CDU', 'Waage'
11001913, 'Peter', 'Säckl', '08.10.1939', 'SPD', 'Waage'
11001915, 'Hannelore', 'Saibold', '01.10.1943', 'BÜNDNIS 90/DIE GRÜNEN', 'Waage'
11001918, 'Gustav', 'Sander', '28.09.1881', 'SPD', 'Waage'
11001965, 'Heinrich', 'Schild', '22.10.1895', 'CDU', 'Waage'
11002049, 'Reiner', 'Schneider', '02.10.1942', 'CDU', 'Waage'
11002061, 'Erwin', 'Schoettle', '18.10.1899', 'SPD', 'Waage'
11002084, 'Thomas', 'Schröer', '15.10.1946', 'SPD', 'Waage'
11002093, 'Dietmar', 'Schütz', '21.10.1943', 'SPD', 'Waage'
11002099, 'Brigitte', 'Traupe', '26.09.1943', 'SPD', 'Waage'
11002113, 'Kurt', 'Schumacher', '13.10.1895', 'SPD', 'Waage'
11002117, 'Johann', 'Schuster', '18.10.1912', 'WAV', 'Waage'
11002119, 'Wolfgang', 'Schwabe', '12.10.1910', 'SPD', 'Waage'
11002131, 'Carl-Christoph', 'Schweitzer', '03.10.1924', 'SPD', 'Waage'
11002135, 'Erich', 'Schwertner', '10.10.1918', 'DPS', 'Waage'
11002152, 'Franz', 'Seidl', '30.09.1911', 'CSU', 'Waage'
11002156, 'Rudolf', 'Seiters', '13.10.1937', 'CDU', 'Waage'
11002171, 'Hellmut', 'Sieglerschmidt', '17.10.1917', 'SPD', 'Waage'
11002214, 'Hermann', 'Stahlberg', '01.10.1920', 'CDU', 'Waage'
11002220, 'Robert', 'Stauch', '25.09.1898', 'CDU', 'Waage'
11002259, 'Gerhard', 'Stoltenberg', '29.09.1928', 'CDU', 'Waage'
11002280, 'Michael', 'Stübgen', '17.10.1959', 'CDU', 'Waage'
11002297, 'Richard', 'Tamble', '27.09.1913', 'SPD', 'Waage'
11002304, 'Wilhelm', 'Tenhagen', '14.10.1911', 'SPD', 'Waage'
11002318, 'Wolfgang', 'Thierse', '22.10.1943', 'SPD', 'Waage'
11002319, 'Johann', 'Thies', '05.10.1898', 'CDU', 'Waage'
11002363, 'Max', 'Vehar', '01.10.1910', 'CDU', 'Waage'
11002370, 'Arnold', 'Verhoeven', '21.10.1905', 'CDU', 'Waage'
11002374, 'Franz', 'Vit', '06.10.1916', 'SPD', 'Waage'
11002375, 'Felix', 'Vittinghoff-Schell', '03.10.1910', 'CDU', 'Waage'
11002400, 'Oskar', 'Wacker', '20.10.1898', 'CDU', 'Waage'
11002415, 'Walter', 'Wallmann', '24.09.1932', 'CDU', 'Waage'
11002424, 'Rudi', 'Walther', '22.10.1928', 'SPD', 'Waage'
11002427, 'Karl', 'Walz', '22.10.1900', 'CDU', 'Waage'
11002439, 'Fritz', 'Wedel', '15.10.1916', 'DPS', 'Waage'
