Total Abgeordnete: 726

Stier 73 Abgeordnete
Waage 68 Abgeordnete
Jungfrau 67 Abgeordnete
Zwillinge 66 Abgeordnete
Löwe 62 Abgeordnete
Krebs 61 Abgeordnete
Wassermann 60 Abgeordnete
Steinbock 59 Abgeordnete
Schütze 58 Abgeordnete
Fische 56 Abgeordnete
Widder 53 Abgeordnete
Skorpion 43 Abgeordnete

Steinbock 59 Abgeordnete
11003742, 'Michael', 'Brand', '19.11.1973', 'CDU', 'Skorpion'
11003753, 'Klaus', 'Ernst', '01.11.1954', 'Plos', 'Skorpion'
11003799, 'Paul', 'Lehrieder', '20.11.1959', 'CSU', 'Skorpion'
11003821, 'Henning', 'Otte', '27.10.1968', 'CDU', 'Skorpion'
11003846, 'Frank', 'Schwabe', '12.11.1970', 'SPD', 'Skorpion'
11004019, 'Heike', 'Brehmer', '05.11.1962', 'CDU', 'Skorpion'
11004041, 'Nicole', 'Gohlke', '15.11.1975', 'DIE LINKE.', 'Skorpion'
11004221, 'Beate', 'Walter-Rosenheimer', '20.11.1964', 'BÜNDNIS 90/DIE GRÜNEN', 'Skorpion'
11004271, 'Uwe', 'Feiler', '02.11.1965', 'CDU', 'Skorpion'
11004287, 'Rita', 'Hagl-Kehl', '11.11.1970', 'SPD', 'Skorpion'
11004353, 'Irene', 'Mihalic', '17.11.1976', 'BÜNDNIS 90/DIE GRÜNEN', 'Skorpion'
11004382, 'Kerstin', 'Radomski', '01.11.1974', 'CDU', 'Skorpion'
11004426, 'Carsten', 'Träger', '25.10.1973', 'SPD', 'Skorpion'
11004645, 'Markus', 'Uhl', '31.10.1979', 'CDU', 'Skorpion'
11004653, 'Gökay', 'Akbulut', '16.11.1982', 'DIE LINKE.', 'Skorpion'
11004656, 'Philipp', 'Amthor', '10.11.1992', 'CDU', 'Skorpion'
11004788, 'Jörn', 'König', '29.10.1967', 'AfD', 'Skorpion'
11004858, 'Stephan', 'Protschka', '08.11.1977', 'AfD', 'Skorpion'
11004865, 'Bernd', 'Riexinger', '30.10.1955', 'DIE LINKE.', 'Skorpion'
11004899, 'Dirk', 'Spaniel', '03.11.1971', 'AfD', 'Skorpion'
11004901, 'Katrin', 'Staffler', '04.11.1981', 'CSU', 'Skorpion'
11004931, 'Nicole', 'Westig', '13.11.1967', 'FDP', 'Skorpion'
11005016, 'Felix', 'Banaszak', '24.10.1989', 'BÜNDNIS 90/DIE GRÜNEN', 'Skorpion'
11005028, 'Friedhelm', 'Boginski', '07.11.1955', 'FDP', 'Skorpion'
11005029, 'Gereon', 'Bollmann', '20.11.1953', 'AfD', 'Skorpion'
11005038, 'Hakan', 'Demir', '16.11.1984', 'SPD', 'Skorpion'
11005049, 'Sonja', 'Eichwede', '25.10.1987', 'SPD', 'Skorpion'
11005105, 'Helmut', 'Kleebank', '18.11.1964', 'SPD', 'Skorpion'
11005132, 'Helge', 'Limburg', '25.10.1982', 'BÜNDNIS 90/DIE GRÜNEN', 'Skorpion'
11005189, 'Frank', 'Rinck', '04.11.1986', 'AfD', 'Skorpion'
11005192, 'Jessica', 'Rosenthal', '28.10.1992', 'SPD', 'Skorpion'
11005216, 'Anja', 'Schulz', '28.10.1985', 'FDP', 'Skorpion'
11005226, 'Merle', 'Spellerberg', '13.11.1996', 'BÜNDNIS 90/DIE GRÜNEN', 'Skorpion'
11005227, 'Nina', 'Stahr', '27.10.1982', 'BÜNDNIS 90/DIE GRÜNEN', 'Skorpion'
11005235, 'Christina', 'Stumpp', '16.11.1987', 'CDU', 'Skorpion'
11005263, 'Mareike Lotte', 'Wulf', '15.11.1979', 'CDU', 'Skorpion'
11005265, 'Kay-Uwe', 'Ziegler', '27.10.1963', 'AfD', 'Skorpion'
11005273, 'Claudia', 'Raffelhüschen', '07.11.1968', 'FDP', 'Skorpion'

Fische 56 Abgeordnete
11001235, 'Wolfgang', 'Kubicki', '03.03.1952', 'FDP', 'Fische'
11002666, 'Hermann', 'Gröhe', '25.02.1961', 'CDU', 'Fische'
11003124, 'Hans-Peter', 'Friedrich', '10.03.1957', 'CSU', 'Fische'
11003264, 'Klaus-Peter', 'Willsch', '28.02.1961', 'CDU', 'Fische'
11003706, 'Artur', 'Auernhammer', '09.03.1963', 'CSU', 'Fische'
11003715, 'Lars', 'Klingbeil', '23.02.1978', 'SPD', 'Fische'
11003797, 'Karl', 'Lauterbach', '21.02.1963', 'SPD', 'Fische'
11004048, 'Florian', 'Hahn', '14.03.1974', 'CSU', 'Fische'
11004073, 'Axel', 'Knoerig', '01.03.1967', 'CDU', 'Fische'
11004257, 'Lars', 'Castellucci', '24.02.1974', 'SPD', 'Fische'
11004304, 'Alexander', 'Hoffmann', '06.03.1975', 'CSU', 'Fische'
11004337, 'Katja', 'Leikert', '03.03.1975', 'CDU', 'Fische'
11004385, 'Martina', 'Renner', '11.03.1967', 'DIE LINKE.', 'Fische'
11004401, 'Dagmar', 'Schmidt', '13.03.1973', 'SPD', 'Fische'
11004407, 'Andreas', 'Schwarz', '03.03.1965', 'SPD', 'Fische'
11004409, 'Tino', 'Sorge', '04.03.1975', 'CDU', 'Fische'
11004415, 'Albert', 'Stegemann', '09.03.1976', 'CDU', 'Fische'
11004440, 'Anja', 'Weisgerber', '11.03.1976', 'CSU', 'Fische'
11004605, 'Christian', 'Petry', '15.03.1965', 'SPD', 'Fische'
11004661, 'Nicole', 'Bauer', '19.03.1987', 'FDP', 'Fische'
11004676, 'Jens', 'Brandenburg', '08.03.1986', 'FDP', 'Fische'
11004707, 'Thomas', 'Ehrhorn', '20.03.1959', 'AfD', 'Fische'
11004715, 'Susanne', 'Ferschl', '10.03.1973', 'DIE LINKE.', 'Fische'
11004721, 'Markus', 'Frohnmaier', '25.02.1991', 'AfD', 'Fische'
11004724, 'Alexander', 'Gauland', '20.02.1941', 'AfD', 'Fische'
11004745, 'Markus', 'Herbrand', '24.02.1971', 'FDP', 'Fische'
11004771, 'Elisabeth', 'Kaiser', '04.03.1987', 'SPD', 'Fische'
11004781, 'Norbert', 'Kleinwächter', '22.02.1986', 'AfD', 'Fische'
11004819, 'Pascal', 'Meiser', '07.03.1975', 'DIE LINKE.', 'Fische'
11004890, 'Matthias', 'Seestern-Pauly', '28.02.1984', 'FDP', 'Fische'
11004904, 'Mathias', 'Stein', '21.02.1970', 'SPD', 'Fische'
11004906, 'Marie-Agnes', 'Strack-Zimmermann', '10.03.1958', 'FDP', 'Fische'
11004950, 'Joe', 'Weingarten', '17.03.1962', 'SPD', 'Fische'
11005017, 'Karl', 'Bär', '13.03.1985', 'BÜNDNIS 90/DIE GRÜNEN', 'Fische'
11005022, 'Lukas', 'Benner', '20.02.1996', 'BÜNDNIS 90/DIE GRÜNEN', 'Fische'
11005035, 'Yannick', 'Bury', '11.03.1990', 'CDU', 'Fische'
11005042, 'Thomas', 'Dietz', '12.03.1967', 'AfD', 'Fische'
11005043, 'Felix', 'Döring', '23.02.1991', 'SPD', 'Fische'
11005046, 'Axel', 'Echeverria', '19.03.1980', 'SPD', 'Fische'
11005054, 'Ariane', 'Fäscher', '01.03.1968', 'SPD', 'Fische'
11005062, 'Manuel', 'Gava', '20.02.1991', 'SPD', 'Fische'
11005067, 'Christian', 'Görke', '17.03.1962', 'DIE LINKE.', 'Fische'
11005069, 'Ingeborg', 'Gräßle', '02.03.1961', 'CDU', 'Fische'
11005070, 'Armin', 'Grau', '18.03.1959', 'BÜNDNIS 90/DIE GRÜNEN', 'Fische'
11005090, 'Markus', 'Hümpfer', '17.03.1992', 'SPD', 'Fische'
11005111, 'Chantal', 'Kopf', '20.03.1995', 'BÜNDNIS 90/DIE GRÜNEN', 'Fische'
11005114, 'Philip', 'Krämer', '29.02.1992', 'BÜNDNIS 90/DIE GRÜNEN', 'Fische'
11005182, 'Martin', 'Plum', '26.02.1982', 'CDU', 'Fische'
11005194, 'Thorsten', 'Rudolph', '15.03.1974', 'SPD', 'Fische'
11005215, 'Ria', 'Schröder', '07.03.1992', 'FDP', 'Fische'
11005220, 'Stephan', 'Seiter', '18.03.1963', 'FDP', 'Fische'
11005231, 'Nadja', 'Sthamer', '13.03.1990', 'SPD', 'Fische'
11005249, 'Maja', 'Wallstein', '18.03.1986', 'SPD', 'Fische'
11005250, 'Hannes', 'Walter', '02.03.1984', 'SPD', 'Fische'
11005259, 'Tina', 'Winklmann', '26.02.1980', 'BÜNDNIS 90/DIE GRÜNEN', 'Fische'
11005306, 'Ana-Maria', 'Trăsnea', '15.03.1994', 'SPD', 'Fische'
